elapsed_s,left_angle_x_deg,left_angular_velocity_x_dps,right_angle_x_deg,right_angular_velocity_x_dps,left_actual_torque_nm,right_actual_torque_nm,left_nn_command_nm,right_nn_command_nm
1.1900,-0.1575,-0.0305,-0.4487,0.0583,0.0000,-0.0226,3.7903,3.5661
1.2000,-0.1575,-0.0305,-0.4542,-0.0638,0.0000,-0.0226,3.7892,3.5662
1.2100,-0.1575,-0.0305,-0.4597,-0.1859,0.0000,-0.0226,3.7888,3.5654
1.2200,-0.1630,-0.0305,-0.4597,-0.1859,0.0000,-0.0226,3.7894,3.5659
1.2300,-0.1630,-0.0305,-0.4597,-0.1248,0.0000,-0.0226,3.7894,3.5663
1.2402,-0.1630,-0.0305,-0.4597,-0.0027,0.0000,-0.0226,3.7900,3.5677
1.2500,-0.1685,-0.0305,-0.4597,0.1804,0.0000,-0.0226,3.7892,3.5682
1.2601,-0.1685,-0.0305,-0.4597,0.1804,0.0000,-0.0226,3.7900,3.5677
1.2700,-0.1685,-0.0305,-0.4542,0.0583,0.0000,-0.0226,3.7900,3.5666
1.2800,-0.1685,-0.0305,-0.4542,0.1804,0.0000,-0.0226,3.7898,3.5669
1.2900,-0.1685,-0.0305,-0.4542,0.1804,0.0000,-0.0226,3.7892,3.5682
1.3000,-0.1740,-0.0305,-0.4542,0.3024,0.0000,-0.0226,3.7883,3.5699
1.3100,-0.1740,-0.0305,-0.4487,0.2414,0.0000,-0.0226,3.7869,3.5708
1.3200,-0.1740,-0.0305,-0.4487,0.3024,0.0000,-0.0226,3.7860,3.5717
1.3300,-0.1740,-0.0305,-0.4432,0.1804,0.0000,-0.0226,3.7850,3.5706
1.3400,-0.1740,-0.0305,-0.4432,-0.0638,0.0000,-0.0226,3.7863,3.5698
1.3500,-0.1740,-0.0305,-0.4487,-0.1248,0.0000,-0.0226,3.7855,3.5685
1.3600,-0.1795,-0.0305,-0.4487,-0.1248,0.0000,-0.0226,3.7865,3.5689
1.3701,-0.1795,-0.0305,-0.4487,-0.0638,0.0000,-0.0226,3.7870,3.5685
1.3800,-0.1795,-0.0305,-0.4542,-0.0638,0.0000,-0.0226,3.7884,3.5680
1.3901,-0.1795,-0.0305,-0.4542,-0.2469,0.0000,-0.0226,3.7890,3.5662
