timestamp,loop_index,left_raw_angle_deg,right_raw_angle_deg,left_calibrated_angle_rad,right_calibrated_angle_rad,left_angular_velocity_rad_s,right_angular_velocity_rad_s,left_filtered_angle_rad,right_filtered_angle_rad,left_filtered_angular_velocity_rad_s,right_filtered_angular_velocity_rad_s,left_actual_torque_nm,right_actual_torque_nm,left_action_norm,right_action_norm,left_raw_tcn_command_nm,right_raw_tcn_command_nm,left_command_nm,right_command_nm,history_ready,inference_time_ms,loop_time_ms,overrun,enabled
0.740001,74,101.024780,96.212769,0.009102722,-0.014275757,-0.061428474,0.085375618,0.007765623,-0.014654047,-0.067708168,0.080366244,0.025850,-0.030500,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.178583,0,0
0.750001,75,100.953369,96.174316,0.010349082,-0.013604640,-0.057167416,0.103485114,0.008970838,-0.014164486,-0.062790782,0.091151472,0.004700,0.021350,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.178546,0,0
0.760001,76,100.848999,96.135864,0.012170684,-0.012933524,-0.107234844,0.097093527,0.010463604,-0.013590228,-0.083524466,0.093923511,-0.067210,-0.006100,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.207933,0,0
0.770001,77,100.848999,96.102905,0.012170684,-0.012358281,-0.107234844,0.035308190,0.011259977,-0.013015510,-0.094585640,0.066578766,-0.009400,0.019520,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.175750,0,0
0.780001,78,100.733643,96.102905,0.014184034,-0.012358281,-0.041188449,0.035308190,0.012624084,-0.012708905,-0.069675215,0.051990670,-0.009400,0.019520,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.169491,0,0
0.790001,79,100.733643,96.102905,0.014184034,-0.012358281,-0.041188449,0.035308190,0.013351819,-0.012545335,-0.056385799,0.044208094,-0.004700,-0.004270,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.182453,0,0
0.800001,80,100.634766,96.097412,0.015909762,-0.012262407,0.021662152,0.042765041,0.014545130,-0.012413346,-0.019975500,0.043534893,-0.004700,-0.007320,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.206934,0,0
0.810001,81,100.519409,96.108398,0.017923112,-0.012454155,0.020596888,0.016133430,0.016120999,-0.012432384,-0.001047998,0.030751784,-0.024440,-0.010370,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.140307,0,0
0.820001,82,100.398560,96.124878,0.020032335,-0.012741776,-0.106169580,0.001219728,0.017945684,-0.012576719,-0.050088468,0.016974728,-0.025850,-0.015250,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.146510,0,0
0.830001,83,100.382080,96.152344,0.020319957,-0.013221145,-0.120018018,-0.013693974,0.019053311,-0.012877351,-0.082711436,0.002667413,0.010340,-0.001220,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.204304,0,0
0.840001,84,100.382080,96.185303,0.020319957,-0.013796388,-0.120018018,0.024655545,0.019644216,-0.013306093,-0.100115400,0.012925139,-0.009400,0.001220,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.198026,0,0
0.850001,85,100.343628,96.185303,0.020991073,-0.013796388,-0.080603234,0.024655545,0.020272541,-0.013534821,-0.091012742,0.018397513,-0.009400,0.006100,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.184138,0,0
0.860001,86,100.343628,96.185303,0.020991073,-0.013796388,-0.080603234,0.039569247,0.020607745,-0.013656845,-0.086156582,0.028274379,-0.029140,0.018300,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.153899,0,0
0.870001,87,100.310669,96.174316,0.021566316,-0.013604640,-0.053971623,0.048091363,0.021054930,-0.013632491,-0.071141915,0.037519238,-0.007050,-0.021350,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.134364,0,0
0.880001,88,100.206299,96.168823,0.023387918,-0.013508767,-0.024144218,0.033177661,0.022143297,-0.013574772,-0.049216930,0.035493841,0.036660,0.006100,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.157639,0,0
0.890001,89,100.206299,96.163330,0.023387918,-0.013412893,-0.024144218,0.021459752,0.022723928,-0.013499253,-0.037520212,0.028946771,0.032900,0.006100,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.127826,0,0
0.900001,90,100.101929,96.190796,0.025209521,-0.013892262,-0.003904194,-0.014759239,0.023883486,-0.013682597,-0.021837939,0.008557397,0.016450,-0.016470,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.183490,0,0
0.910001,91,100.101929,96.168823,0.025209521,-0.013508767,-0.003904194,0.090701940,0.024502097,-0.013601503,-0.013471634,0.046878805,0.021150,-0.022570,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.149529,0,0
0.920001,92,100.074463,96.097412,0.025688890,-0.012262407,-0.031601069,0.148226220,0.025055750,-0.012976799,-0.021929231,0.094158581,-0.000940,-0.022570,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.127234,0,0
0.930001,93,100.057983,96.097412,0.025976511,-0.012262407,-0.051841094,0.148226220,0.025485296,-0.012643527,-0.035883471,0.119381778,0.024440,0.033550,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.147974,0,0
