X[s],"Avanti sensor 2: ACC.X 2",X[s],"Avanti sensor 2: ACC.Y 2",X[s],"Avanti sensor 2: ACC.Z 2",X[s],"Avanti sensor 2: GYRO.X 2",X[s],"Avanti sensor 2: GYRO.Y 2",X[s],"Avanti sensor 2: GYRO.Z 2",X[s],"L RECTUS FEMORIS: EMG 4",X[s],"L BICEPS FEMORIS: EMG 5",X[s],"Avanti sensor 7: ACC.X 7",X[s],"Avanti sensor 7: ACC.Y 7",X[s],"Avanti sensor 7: ACC.Z 7",X[s],"Avanti sensor 7: GYRO.X 7",X[s],"Avanti sensor 7: GYRO.Y 7",X[s],"Avanti sensor 7: GYRO.Z 7",X[s],"R RECTUS FEMORIS: EMG 10",X[s],"R BICEPS FEMORIS: EMG 15"
0.1512,-0.1176758,0.1512,-0.9902344,0.1512,-0.168457,0.1512,-2.804878,0.1512,3.353659,0.1512,1.52439,0.02606896,0,0.02606896,0,0.1512,0.2734375,0.1512,-0.9643555,0.1512,-0.1821289,0.1512,-0.7926829,0.1512,3.719512,0.1512,1.097561,0.02606896,0,0.02606896,0
0.1539,-0.1147461,0.1539,-0.9858398,0.1539,-0.168457,0.1539,-2.621951,0.1539,2.926829,0.1539,1.402439,0.02653448,0,0.02653448,0,0.1539,0.2705078,0.1539,-0.965332,0.1539,-0.1831055,0.1539,-0.9756098,0.1539,3.658537,0.1539,0.9756098,0.02653448,0,0.02653448,0
0.1566,-0.1176758,0.1566,-0.9853516,0.1566,-0.1699219,0.1566,-2.804878,0.1566,2.865854,0.1566,1.646341,0.027,0,0.027,0,0.1566,0.2714844,0.1566,-0.9643555,0.1566,-0.1845703,0.1566,-0.9146342,0.1566,3.780488,0.1566,1.036585,0.027,0,0.027,0
0.1593,-0.1245117,0.1593,-0.9858398,0.1593,-0.1689453,0.1593,-2.682927,0.1593,2.804878,0.1593,1.646341,0.02746552,0,0.02746552,0,0.1593,0.2700195,0.1593,-0.9648438,0.1593,-0.184082,0.1593,-0.9146342,0.1593,3.841464,0.1593,0.9146342,0.02746552,0,0.02746552,0
0.162,-0.1230469,0.162,-0.9873047,0.162,-0.1674805,0.162,-2.682927,0.162,2.926829,0.162,1.768293,0.02793103,0,0.02793103,0,0.162,0.265625,0.162,-0.9658203,0.162,-0.1860352,0.162,-0.7317073,0.162,3.902439,0.162,0.9756098,0.02793103,0,0.02793103,0
0.1647,-0.1230469,0.1647,-0.9868164,0.1647,-0.1669922,0.1647,-2.560976,0.1647,3.109756,0.1647,1.402439,0.02839655,0,0.02839655,0,0.1647,0.2685547,0.1647,-0.965332,0.1647,-0.1816406,0.1647,-0.9146342,0.1647,3.597561,0.1647,1.158537,0.02839655,0,0.02839655,0
0.1674,-0.1186523,0.1674,-0.9873047,0.1674,-0.1733398,0.1674,-2.865854,0.1674,3.109756,0.1674,1.707317,0.02886207,0,0.02886207,0,0.1674,0.2714844,0.1674,-0.9628906,0.1674,-0.1791992,0.1674,-0.8536586,0.1674,3.414634,0.1674,1.219512,0.02886207,0,0.02886207,0
0.1701,-0.1230469,0.1701,-0.9858398,0.1701,-0.1733398,0.1701,-3.04878,0.1701,2.987805,0.1701,1.585366,0.02932759,0,0.02932759,0,0.1701,0.2695313,0.1701,-0.9604492,0.1701,-0.1806641,0.1701,-0.4268293,0.1701,3.47561,0.1701,1.158537,0.02932759,0,0.02932759,0
0.1728,-0.1220703,0.1728,-0.9902344,0.1728,-0.1708984,0.1728,-2.682927,0.1728,2.743902,0.1728,1.402439,0.0297931,0,0.0297931,0,0.1728,0.2714844,0.1728,-0.9624023,0.1728,-0.1772461,0.1728,-0.4878049,0.1728,3.658537,0.1728,1.219512,0.0297931,0,0.0297931,0
0.1755,-0.1254883,0.1755,-0.9858398,0.1755,-0.1733398,0.1755,-2.804878,0.1755,3.04878,0.1755,1.646341,0.03025862,0,0.03025862,0,0.1755,0.2719727,0.1755,-0.9599609,0.1755,-0.1811523,0.1755,-0.5487805,0.1755,3.597561,0.1755,0.9756098,0.03025862,0,0.03025862,0
